import time: self [us] | cumulative | imported package
import time:      8168 |       8168 |         typing_extensions
import time:      3467 |      11635 |       sqlalchemy.util.typing
import time:      2517 | 1483337018 |     sqlalchemy.util._collections
import time:      1987 |       1987 |             concurrent
import time:      4076 |       4076 |                 traceback
import time:       215 |        215 |                 atexit
import time:     11067 |      15358 |               logging
import time:      3567 |      18924 |             concurrent.futures._base
import time:      2915 |      23826 |           concurrent.futures
import time:       200 |        200 |             _heapq
import time:      2700 |       2900 |           heapq
import time:      5881 |       5881 |             _ssl
import time:      7117 |      12998 |           ssl
import time:      1743 |       1743 |           asyncio.constants
import time:      1493 |       1493 |           asyncio.coroutines
import time:       165 |        165 |               _contextvars
import time:      1800 |       1964 |             contextvars
import time:      1777 |       1777 |             asyncio.format_helpers
import time:      1813 |       1813 |               asyncio.base_futures
import time:      1640 |       1640 |               asyncio.exceptions
import time:      1705 |       1705 |               asyncio.base_tasks
import time:      2510 |       7667 |             _asyncio
import time:      2867 |      14273 |           asyncio.events
import time:      2444 |       2444 |           asyncio.futures
import time:      1432 |       1432 |           asyncio.protocols
import time:      1929 |       1929 |             asyncio.transports
import time:      1542 |       1542 |             asyncio.log
import time:      3045 |       6515 |           asyncio.sslproto
import time:      1130 |       1130 |               asyncio.mixins
import time:      2383 |       3513 |             asyncio.locks
import time:      2750 |       2750 |               asyncio.timeouts
import time:      2719 |       5469 |             asyncio.tasks
import time:      1774 |      10755 |           asyncio.staggered
import time:      1729 |       1729 |           asyncio.trsock
import time:      6457 |      86560 |         asyncio.base_events
import time:      2439 |       2439 |         asyncio.runners
import time:      2581 |       2581 |         asyncio.queues
import time:      2408 |       2408 |         asyncio.streams
import time:      1892 |       1892 |         asyncio.subprocess
import time:      1547 |       1547 |         asyncio.taskgroups
import time:      1465 |       1465 |         asyncio.threads
import time:      3649 |       3649 |           _overlapped
import time:      1752 |       1752 |           asyncio.base_subprocess
import time:      2578 |       2578 |           asyncio.proactor_events
import time:      2543 |       2543 |           asyncio.selector_events
import time:      1293 |       1293 |           asyncio.windows_utils
import time:      3189 |      15002 |         asyncio.windows_events
import time:      3110 |     117000 |       asyncio
import time:      3287 |       3287 |         greenlet._greenlet
import time:      1572 |       4859 |       greenlet
import time:      6354 |       6354 |         sqlalchemy.util.langhelpers
import time:      1634 |       7987 |       sqlalchemy.util._concurrency_py3k
import time:      1184 |     131029 |     sqlalchemy.util.concurrency
import time:      1368 |       1368 |     sqlalchemy.util.deprecations
import time:      1680 | 1483471652 |   sqlalchemy.util
import time:      1670 |       1670 |                     sqlalchemy.event.registry
import time:       968 |       2638 |                   sqlalchemy.event.legacy
import time:      2319 |       4956 |                 sqlalchemy.event.attr
import time:      1628 |       6583 |               sqlalchemy.event.base
import time:      1211 |       7793 |             sqlalchemy.event.api
import time:       977 |       8770 |           sqlalchemy.event
import time:      1765 |       1765 |                 sqlalchemy.log
import time:      7253 |       9017 |               sqlalchemy.pool.base
import time:      3355 |      12372 |             sqlalchemy.pool.events
import time:      1733 |       1733 |               sqlalchemy.util.queue
import time:      1971 |       3704 |             sqlalchemy.pool.impl
import time:      1273 |      17347 |           sqlalchemy.pool
import time:      3468 |       3468 |                 sqlalchemy.sql.roles
import time:      2035 |       2035 |                 sqlalchemy.inspection
import time:      6344 |      11846 |               sqlalchemy.sql._typing
import time:      4437 |       4437 |                 sqlalchemy.sql.visitors
import time:      4455 |       4455 |                 sqlalchemy.sql.cache_key
import time:      3488 |       3488 |                   sqlalchemy.sql.operators
import time:      2547 |       6035 |                 sqlalchemy.sql.traversals
import time:     10824 |      25750 |               sqlalchemy.sql.base
import time:      3069 |       3069 |                   numbers
import time:      5139 |       8208 |                 sqlalchemy.sql.coercions
import time:      2190 |       2190 |                       sqlalchemy.sql.annotation
import time:      3755 |       3755 |                             _decimal
import time:      2039 |       5794 |                           decimal
import time:      9396 |       9396 |                           sqlalchemy.sql.type_api
import time:     20765 |      35954 |                         sqlalchemy.sql.elements
import time:      1605 |       1605 |                         sqlalchemy.util.topological
import time:      8706 |      46264 |                       sqlalchemy.sql.ddl
import time:       215 |        215 |                                   _json
import time:      2500 |       2715 |                                 json.scanner
import time:      5032 |       7746 |                               json.decoder
import time:      3080 |       3080 |                               json.encoder
import time:      4066 |      14891 |                             json
import time:      2968 |       2968 |                               _compat_pickle
import time:       310 |        310 |                               _pickle
import time:      4269 |       7546 |                             pickle
import time:      1959 |       1959 |                               _uuid
import time:      2408 |       4367 |                             uuid
import time:      1070 |       1070 |                               sqlalchemy.engine._py_processors
import time:       846 |       1916 |                             sqlalchemy.engine.processors
import time:     13423 |      42140 |                           sqlalchemy.sql.sqltypes
import time:     23652 |      65792 |                         sqlalchemy.sql.selectable
import time:     17607 |      83398 |                       sqlalchemy.sql.schema
import time:      3779 |     135629 |                     sqlalchemy.sql.util
import time:     10258 |     145886 |                   sqlalchemy.sql.dml
import time:      3289 |     149175 |                 sqlalchemy.sql.crud
import time:      9496 |       9496 |                 sqlalchemy.sql.functions
import time:     18810 |     185688 |               sqlalchemy.sql.compiler
